[Event "预选赛淘汰赛"]
[Site "CHENGDU, China"]
[Date "2026.07.18"]
[Round "8.1"]
[White "Zhu, Jiner"]
[Black "Li, Di"]
[Result "1-0"]
[WhiteElo "2415"]
[BlackElo "2465"]
[ECO "C00"]
[TimeControl "3m+2s"]
[Variant "Standard"]
[Opening "French Defense: St. George Defense"]

1.e4 e6 2.d4 a6 3.Nc3 b5 4.Bd3 Bb7 5.Be3 Nf6 6.f3 d5 7.e5 Nfd7 8.Nce2 c5 9.c3 Nc6 10.Nh3 Qb6 11.f4 Be7 12.O-O cxd4 13.cxd4 f5 14.exf6 Nxf6 15.Kh1 O-O 16.Ng5 Nb4 17.Bb1 Ne4 18.a3 Bxg5 19.fxg5 Rxf1+ 20.Qxf1 Rf8 21.Qe1 Nc6 22.g6 hxg6 23.Nf4 Rf6 24.Bxe4 dxe4 25.d5 Nd4 26.Nxe6 Bxd5 27.Nxd4 Bc4 28.Qg3 Qc5 29.h3 Bd3 30.Rc1 Qh5 31.Kh2 Kh7 32.Rc7 Rf1 33.Ne6 Qd1 34.Rxg7+ 1-0
